id,年龄,每月补贴积分,自理能力,居住情况,性别,婚姻状况,留存天数,观察期最后一次购买日期,第一次,最后一次,花费积分总数,总次数,月均次数,次均积分,家政服务,精神慰藉,生活照料,医疗保健,最大消费积分数,购买概率,购买天数,时间间隔,用户流失,最后一次距离12/31天数
78,90,200,2,与配偶及子女同住,0,1,362,2020/1/8,2019/1/11,2021/12/7,2527.84,53,4.392265193,47.69509434,53,0,0,0,72,2.304347826,23,15.73913043,0,24
79,90,500,3,与配偶及子女同住,0,1,378,2020/1/19,2019/1/6,2021/12/21,4100,68,5.396825397,60.29411765,68,0,0,0,120,2.266666667,30,12.6,0,10
80,90,300,3,与子女同住,0,3,357,2020/1/6,2019/1/14,2021/12/20,1890,52,4.369747899,36.34615385,52,0,0,0,50,2.6,20,17.85,0,11
81,90,200,2, ,0,1,482,2020/6/18,2019/2/22,2021/12/8,3531,54,3.360995851,65.38888889,52,0,0,2,360,2.842105263,19,25.36842105,0,23
82,90,200,1,与配偶及子女同住,0,1,368,2020/1/14,2019/1/11,2021/12/31,2600,58,4.72826087,44.82758621,56,0,2,0,80,2.636363636,22,16.72727273,0,0
83,89,200,2,与子女同住,0,3,506,2020/6/19,2019/1/30,2021/12/2,2770.8,42,2.490118577,65.97142857,41,0,1,0,121.5,3.230769231,13,38.92307692,0,29
84,89,400,0,与子女同住,0,3,525,2020/6/17,2019/1/9,2021/12/22,3485,125,7.142857143,27.88,9,0,116,0,120,1.050420168,119,4.411764706,0,9
85,89,300,1,与配偶及子女同住,0,1,367,2020/1/19,2019/1/17,2021/12/22,3816,63,5.14986376,60.57142857,63,0,0,0,100,2.739130435,23,15.95652174,0,9
86,89,100,3,独居,0,3,511,2020/6/18,2019/1/24,2021/10/28,1360.4,19,1.115459883,71.6,19,0,0,0,108,2.375,8,63.875,1,64
87,89,200,3,与配偶及子女同住,0,1,367,2020/1/7,2019/1/5,2021/12/1,2600,52,4.250681199,50,52,0,0,0,80,2.6,20,18.35,0,30
88,89,200,2,与配偶及子女同住,1,1,369,2020/1/10,2019/1/6,2021/12/7,2544,46,3.739837398,55.30434783,46,0,0,0,100,3.833333333,12,30.75,0,24
89,89,150,3,与子女同住,0,1,332,2020/1/23,2019/2/25,2021/12/15,1950,13,1.174698795,150,13,0,0,0,150,1,13,25.53846154,0,16
90,89,300,1,与子女同住,0,1,377,2020/1/16,2019/1/4,2021/12/17,3888,83,6.604774536,46.84337349,83,0,0,0,70,3.32,25,15.08,0,14
91,89,100,3, ,0,1,504,2020/6/11,2019/1/24,2021/12/31,1511,26,1.547619048,58.11538462,15,0,7,4,120,1.857142857,14,36,0,0
92,89,200,3,与子女同住,0,3,518,2020/6/29,2019/1/28,2021/12/3,954,15,0.868725869,63.6,15,0,0,0,102.8,3,5,103.6,0,28
93,89,300,1,偶居,0,0,467,2020/6/24,2019/3/15,2021/12/25,4550,86,5.524625268,52.90697674,69,0,3,14,360,3.307692308,26,17.96153846,0,6
